fitness,type,enemy,gen,algo
3.575900529921398,mean_fitness,1,1,neat
57.73214184093667,max_fitness,1,2,neat
12.12280063425142,mean_fitness,1,2,neat
57.73214184093667,max_fitness,1,3,neat
18.114780304198103,mean_fitness,1,3,neat
57.73214184093667,max_fitness,1,4,neat
16.904328791031574,mean_fitness,1,4,neat
57.73214184093667,max_fitness,1,5,neat
14.0751423992984,mean_fitness,1,5,neat
57.73214184093667,max_fitness,1,6,neat
9.389609108854808,mean_fitness,1,6,neat
57.73214184093667,max_fitness,1,7,neat
14.68757960057656,mean_fitness,1,7,neat
57.73214184093667,max_fitness,1,8,neat
10.7659472730152,mean_fitness,1,8,neat
57.73214184093667,max_fitness,1,9,neat
12.036688572221012,mean_fitness,1,9,neat
57.73214184093667,max_fitness,1,10,neat
20.22331905713395,mean_fitness,1,10,neat
57.73214184093667,max_fitness,1,11,neat
12.915731858998825,mean_fitness,1,11,neat
57.73214184093667,max_fitness,1,12,neat
20.662029383511168,mean_fitness,1,12,neat
57.73214184093667,max_fitness,1,13,neat
22.40730288858054,mean_fitness,1,13,neat
57.752975927839515,max_fitness,1,14,neat
